Route,Start,End,Operator,Notes
1,Canada Water bus station,Hampstead Heath,Go-Ahead London,
2,Marylebone station,Norwood bus garage,Arriva London,
3,Crystal Palace bus station,Victoria bus station,Transport UK London Bus,
4,Archway tube station,Blackfriars station,Metroline,
5,Canning Town bus station,Romford Market,Go-Ahead London,
6,London Victoria station,Willesden bus garage,Metroline,24-hour operation.
7,East Acton,Oxford Circus,Metroline,
8,Bow Church,Tottenham Court Road station,Stagecoach London,
9,Aldwych,Hammersmith bus station,Metroline,
11,Fulham Town Hall,London Waterloo station,Go-Ahead London,
12,Dulwich Library,Oxford Circus,Go-Ahead London,24-hour operation.
13,North Finchley bus station,London Victoria station,RATP Dev Transit London,24-hour operation.
14,Putney Heath,Russell Square,Go-Ahead London,24-hour operation.
15,Blackwall DLR station,Charing Cross tube station,Go-Ahead London,
16,Brent Park,London Paddington station,Metroline,
17,Archway tube station,London Bridge bus station,Metroline,
18,Euston bus station,Sudbury & Harrow Road railway station,RATP Dev Transit London,
19,Battersea Bridge,Finsbury Park bus station,Arriva London,
20,Debden,Walthamstow bus station,Stagecoach London,
21,Lewisham Shopping Centre,Holloway,Go-Ahead London,
22,Oxford Circus,Putney Common,Go-Ahead London,
23,Aldwych,Westbourne Park tube station,RATP Dev Transit London,24-hour operation.
24,Hampstead Heath,Pimlico,Transport UK London Bus,24-hour operation.
25,Ilford,St Paul's tube station,Stagecoach London,Temporarily withdrawn between City Thameslink railway station and St Paul's tube station until 19:00 on 29 September 2024 due to Cadent Gas works closing Farringdon Street northbound from Ludgate Circus to Charterhouse Street.
26,Hackney Wick,London Victoria station,Stagecoach London,
27,Chalk Farm,Hammersmith Grove,Transport UK London Bus,
28,Kensal Rise railway station,Southside Wandsworth,Metroline,
29,Trafalgar Square,Wood Green tube station,Arriva London,
30,Hackney Wick,Marble Arch tube station,Metroline,
31,White City bus station,Camden Town tube station,Metroline,
32,Edgware bus station,Kilburn Park tube station,Metroline,
33,Fulwell railway station,Castelnau,RATP Dev Transit London,Temporarily withdrawn between Castelnau and Hammersmith bus station until further notice due to the closure of Hammersmith Bridge.
34,Barnet Church,Walthamstow bus station,Arriva London,
35,Clapham Junction railway station,Shoreditch,Go-Ahead London,24-hour operation.
36,New Cross bus garage,Queen's Park station,Go-Ahead London,24-hour operation.
37,Peckham,Putney Heath,Go-Ahead London,24-hour operation.
38,Clapton Pond,Victoria bus station,Arriva London,Several buses start from Hackney Central during weekday daytimes.
39,Clapham Junction railway station,Putney Bridge tube station,Go-Ahead London,
40,Clerkenwell Road,Dulwich Library,Go-Ahead London,
41,Archway tube station,Tottenham Hale bus station,Arriva London,
42,East Dulwich,Shoreditch,Go-Ahead London,Extended from Denmark Hill to East Dulwich on 1 October 2016.
43,Friern Barnet,London Bridge bus station,Metroline,24-hour operation.
44,Tooting railway station,London Victoria station,Go-Ahead London,
45,Clapham Park,Elephant and Castle,Transport UK London Bus,Ran to London King's Cross railway station until 15 June 2019.
46,London Paddington station,St Bartholomew's Hospital,Metroline,Operated with electric buses since 20 October 2018.
47,Catford bus garage,Shoreditch,Stagecoach London,24-hour operation.
49,Clapham Junction,White City bus station,RATP Dev Transit London,
50,Fairfield Halls,Stockwell tube station,Arriva London,
51,Orpington railway station,Beresford Square,Go-Ahead London,
52,Victoria bus station,Willesden bus garage,Metroline,24-hour operation.
53,Plumstead railway station,Lower Marsh,Stagecoach London,
54,Woolwich railway station,Elmers End station,Stagecoach London,Transferred from Go-Ahead London to Stagecoach London on 3 May 2014.
55,Walthamstow bus station,Oxford Circus,Stagecoach London,
56,St Bartholomew's Hospital,Whipps Cross,Stagecoach London,
57,Clapham Park,Fairfield bus station,Go-Ahead London,24-hour operation.
58,East Ham,Walthamstow bus station,Stagecoach London,
59,St Bartholomew's Hospital,Streatham Hill,Arriva London,
60,Old CoulsdonOasis Academy Coulsdon (schoolday journeys to Streatham railway station),Streatham railway station,Arriva London,
61,Bromley North railway station,Chislehurst,Stagecoach London,
62,Barking,Marks Gate,Stagecoach London,
63,London King's Cross railway station,Honor Oak,Transport UK London Bus,
64,New Addington,Thornton Heath Pond,Arriva London,24-hour operation.
65,Ealing Broadway station,Kingston upon Thames,RATP Dev Transit London,
66,Leytonstone bus station,Romford railway station,Arriva London,
67,Wood Green tube station,Dalston,Go-Ahead London,
68,Euston bus station,West Norwood,Transport UK London Bus,
