Route,Start,End,Schools,Operator,Notes
601,Thamesmead,Wilmington Academy,Wilmington Academy,Go-Ahead London,
602,Thamesmead,Townley Grammar School,Townley Grammar School,Stagecoach London,
603,Swiss Cottage tube station,Muswell Hill,N/A,Metroline,
605,Burnt Oak tube station,Totteridge & Whetstone tube station,Mill Hill County High School,Sullivan Buses,
606,Queensbury tube station,The Totteridge Academy,"The Totteridge AcademyQueen Elizabeth's School, Barnet",Sullivan Buses,
608,Gallows Corner,Shenfield High School,Shenfield High School,Go-Ahead London,
612,Selsdon,Wallington County Grammar School,Wallington County Grammar SchoolRiddlesdown CollegiateThe John Fisher SchoolWallington High School for Girls,Arriva London,
613,Tolworth railway station,Glenthorne High School,Glenthorne High School,RATP Dev Transit London,
616,Winchmore Hill,Edmonton Green bus station,The Latymer School,Stagecoach London,
617,Turnpike Lane bus station,Turkey Street railway station,St Ignatius College,Sullivan Buses,
621,Lewisham station,Stationers' Crown Woods Academy,Stationers' Crown Woods Academy,Stagecoach London,
624,Grove Park railway station,Stationers' Crown Woods AcademyWelling (1 bus eastbound only),Stationers' Crown Woods Academy,Go-Ahead London,
625,Plumstead Common,Chislehurst,N/A,Go-Ahead London,
626,Finchley Central tube station,Dame Alice Owen's School,Dame Alice Owen's School,Metroline,
627,Wallington High School for Girls,Worcester Park railway station,Wallington High School for Girls,Arriva London,
628,JFS,Southgate tube station,JFS,Uno,Runs one way to Southgate tube station only.
629,Turkey Street railway station,Wood Green bus garage,St Ignatius College,Sullivan Buses,
631,Golders Green tube station,Henrietta Barnett School,Henrietta Barnett School,Metroline,
632,Grahame Park,Kilburn Park tube station,St James' Catholic High School,Metroline,
633,Pollards Hill,Coulsdon South railway station,Woodcote High School,Go-Ahead London,Transferred from Quality Line to Go-Ahead London on 3 April 2021.
634,Muswell Hill,Chipping Barnet,"Queen Elizabeth's School, Barnet",Metroline,
635,St Paul's College,Hounslow bus station,St Paul's College,Metroline,
638,Coney Hall,Kemnal Technology College,Chislehurst School for GirlsKemnal Technology CollegeCoopers SchoolEltham College,Stagecoach London,
639,Roehampton,St John Bosco College,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021
640,South Harrow tube station,Bentley Wood High School,Whitmore High SchoolSalvatorian CollegeSacred Heart Language CollegeBentley Wood High School,Sullivan Buses,
642,West Hendon,London Academy,London Academy,Metroline,
643,Brent Cross bus station,Christ's College Finchley,Christ's College Finchley,Uno,
645,Purley Cross,Waddon,N/A,Arriva London,Introduced on 4 January 2022 to replace route 405D.
646,Noak Hill,Cranham,N/A,Go-Ahead London,
649,Romford bus garage,The Campion School,The Campion School,Go-Ahead London,
650,Romford bus garage,Emerson Park Academy,Emerson Park Academy,Go-Ahead London,
651,Romford railway station,Chase Cross,Bower Park Academy,Go-Ahead London,
652,Rainham,Upminster station,Sanders Draper SchoolHavering Sixth Form CollegeThe Brittons AcademyHarris Academy Rainham,Go-Ahead London,
653,JFS,Muswell Hill,JFS,Uno,
654,Addington Village Interchange,Ramsden,Harris Academy OrpingtonRavens Wood School,Go-Ahead London,
655,Mitcham,Raynes Park High School,Raynes Park High School,RATP Dev Transit London,
656,Gallows Corner,Emerson Park Academy,Emerson Park Academy,Go-Ahead London,
657,Salisbury Hall,Bancroft's School,Trinity Catholic High SchoolBancroft's School,Go-Ahead London,
658,Woolwich Arsenal station,Stationers' Crown Woods Academy,Stationers' Crown Woods Academy,Go-Ahead London,
660,Stationers' Crown Woods Academy,Catford bus garage,Stationers' Crown Woods Academy,Stagecoach London,
661,Chislehurst,Petts Wood railway station,Eltham CollegeCoopers School,Stagecoach London,
662,Surbiton railway station,Holy Cross School,Holy Cross School,RATP Dev Transit London,
663,Thornton Heath railway station,Harris Academy Purley,Harris Academy Purley,Go-Ahead London,
664,New Addington,Charles Darwin School,Charles Darwin SchoolRavens Wood School,Go-Ahead London,
665,Surbiton,Holy Cross School,Holy Cross School,RATP Dev Transit London,
667,Ilford,West Hatch High School,West Hatch High School,Stagecoach London,
669,Thamesmead,Cleeve Park School,Cleeve Park School,Stagecoach London,
670,Roehampton,St John Bosco College,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021
671,Chessington South railway station,Tiffin Girls' School,Tiffin Girls' School,Transport UK London Bus,
672,Thamesmead,Beresford Square,Hawksmoor Primary School,Stagecoach London,
673,The Warren School,Beckton bus station,The Warren School,Stagecoach London,Runs one way to Beckton bus station only.
674,Romford railway station,Harold Hill,Royal Liberty School,Stagecoach London,
675,St. James Street railway station,Woodbridge High School,Woodbridge High School,Arriva London,
677,Ilford,Debden,Davenant Foundation School,Go-Ahead London,
678,Beckton bus station,Stratford bus station,St Angela's Ursuline SchoolSt Bonaventure'sForest Gate Community SchoolStratford School,Stagecoach London,
679,Goodmayes,Woodford Wells,Woodford County High School For GirlsTrinity Catholic High SchoolBancroft's School,Go-Ahead London,
681,Hounslow bus station,Teddington School,Teddington School,RATP Dev Transit London,
683,Friern Barnet,JFS,JFS,Uno,
684,Orpington railway station,Charles Darwin School,Charles Darwin School,Stagecoach London,
685,Warlingham School,Selsdon,Warlingham SchoolRiddlesdown Collegiate,Arriva London,Runs one way to Selsdon only.
686,Romford railway station,St Edward's Church of England Academy,St Edward's Church of England Academy,Go-Ahead London,Afternoon journeys from St Edward's Church of England Academy terminate at Harold Hill.
687,Dagenham Park Church of England School,Barking station,Dagenham Park Church of England School,Go-Ahead London,
688,Southgate tube station,JFS,JFS,Uno,
689,West Croydon bus station,Monks Orchard,Orchard Park High School,Arriva London,
690,Burntwood School,Norwood bus garage,Burntwood School,Go-Ahead London,
696,Hayes,Bishop Ramsey School,Bishop Ramsey School,RATP Dev Transit London,
697,The Douay Martyrs School,Hayes End,The Douay Martyrs School,RATP Dev Transit London,Morning journeys from Hayes End terminate at Ickenham tube station.
698,The Douay Martyrs School,West Drayton,The Douay Martyrs School,RATP Dev Transit London,Morning journeys from West Drayton terminate at Ickenham tube station.
699,Winchmore Hill,Dame Alice Owen's School,Dame Alice Owen's School,Uno,
Route,Start,End,Operator,Letter code,Notes
A10,Uxbridge tube station,Heathrow Central bus station,Metroline,Heathrow Airport,
B11,Bexleyheath bus garage,South Thamesmead,Go-Ahead London,Bexleyheath,
B12,Erith,Joyden's Wood,Go-Ahead London,Bexleyheath,Extended from Bexleyheath Shopping Centre to Joyden's Wood on 24 January 2009.
